科目编码,科目名称,English,会计要素,余额方向,上级编码,层级,现金科目,银行科目,现金等价物,期末调汇,外币核算类型,数量核算,系统预置,预置核算维度
6602.01,工资福利,Employee Benefits,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,
6602.01.02,奖金,Bonus,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.03,社会保险费,Social Insurance Charge,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.04,商业保险费,Commercial Insurance Charge,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.05,住房公积金,Housing Fund,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.06,职工福利费,Employee Welfare Expense,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.07,职工教育经费,Employee Education Expense,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.08,工会经费,Labor Union Fund,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.09,离职补偿金,,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.01.10,其他,,期间费用,借,6602.01,3,否,否,否,否,不核算外币,否,是,部门(必录)
6602.02,业务招待费,Entertainment Expense,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.03,固定资产折旧,Fixed Asset Depreciation,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.04,无形资产摊销,Intangible Asset Amortization,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.05,长期待摊费用,Party Organization Work Fund,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.06,使用权资产摊销,Commission and Transaction Fee,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.07,党组织工作经费,Consulting Expense,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.08,佣金及手续费,Travel Expense,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.09,咨询顾问费,Administrative Expense,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.10,差旅费,Lease Expense,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.11,办公费,Labor Charge,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.12,通讯费,Maintenance Cost,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.13,水费,Others,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.14,电费,,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.15,租赁费,,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.16,物业管理费,,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.17,劳务费,,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.18,维修费,,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6602.19,其他,,期间费用,借,6602,2,否,否,否,否,不核算外币,否,是,部门(必录)
6603,财务费用,Financial Expenses,期间费用,借,,1,否,否,否,否,不核算外币,否,是,
6603.01,利息支出,Interest Expenses,期间费用,借,6603,2,否,否,否,否,不核算外币,否,是,
6603.02.01,存款利息收入,Deposit Interest Income,期间费用,借,6603.02,3,否,否,否,否,不核算外币,否,是,
6603.02,利息收入,Interest Income,期间费用,借,6603,2,否,否,否,否,不核算外币,否,是,
6603.02.02,贷款利息收入,Loan Interest Income,期间费用,借,6603.02,3,否,否,否,否,不核算外币,否,是,
6603.03,汇兑损益,Foreign Exchange Gain/loss,期间费用,借,6603,2,否,否,否,否,不核算外币,否,是,
6603.04,手续费,Transaction Fee,期间费用,借,6603,2,否,否,否,否,不核算外币,否,是,
6603.05,现金折扣,Cash Discount,期间费用,借,6603,2,否,否,否,否,不核算外币,否,是,
6603.06,其他,Others,期间费用,借,6603,2,否,否,否,否,不核算外币,否,是,
6604,勘探费用,Exploration Expense,期间费用,借,,1,否,否,否,否,不核算外币,否,是,
6701,资产减值损失,Asset Impairment Loss,其他损失,借,,1,否,否,否,否,不核算外币,否,是,
6702,信用减值损失,Credit Impairment Loss,其他损失,借,,1,否,否,否,否,不核算外币,否,是,
6711,营业外支出,Non-Operating Expenses,其他损失,借,,1,否,否,否,否,不核算外币,否,是,
6711.01.01,公益性捐赠支出,Charitable Donation Expense,其他损失,借,6711.01,3,否,否,否,否,不核算外币,否,是,
6711.01,捐赠支出,Donation Expense,其他损失,借,6711,2,否,否,否,否,不核算外币,否,是,
6711.01.02,非公益性捐赠支出,Non-public Welfare Donation Expense,其他损失,借,6711.01,3,否,否,否,否,不核算外币,否,是,
